	Tweet	sweet
0	Communicating with the right health audiences is more important than ever. Join leaders from @bvkHQ and Veeva Crossix to understand how leveraging health-based models can help you reach your target audience at scale.  https://t.co/tYnoruUahc  https://t.co/E6gi29Cp7Z	commun right health audienc import ever join leader atus eva croix understand averag healthbas model help reach target audienc scale
1	Experts from @Veevasystems  and @Crossix are at the Life Sciences Innovation Hub (#1131) to discuss best practices, customer successes, and commercial strategy. #DF19 #LifeSciencesDF19 #Dreamforce	expert atus atus life scienc innov sub discu best practic custom success commerci strategi of lifesciencesdf dreamforc
2	Head to the #LifeSciences Innovation Hub at @Dreamforce (#1131, Moscone South) to discuss commercial best practices and strategy with experts from @Veevasystems  and @Crossix.  #DF19 #LifeSciencesDF19  https://t.co/V2K6ds2eUI	head lifesci innov sub atus moscon south discu commerci best practic strategi expert atus atus of lifesciencesdf
3	Heading to @Dreamforce? @Veevasystems and @Crossix will be at #DF19 in the Life Sciences Innovation Hub (1131). Schedule a demo or meeting:  https://t.co/HWJV9ITZjX  #LifeSciencesDF19  https://t.co/NMeTQwxNVB	lead atus atus atus of life scienc innov sub schedul domo meet lifesciencesdf
4	Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/qsJzEWTlr9	lead dreamforc atus atus of life scienc innov sub schedul domo meet lifesciencesdf
5	Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/nyEbsT5oa5	lead dreamforc atus atus of life scienc innov sub schedul domo meet lifesciencesdf
6	Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/IwXbdQRtbF	lead dreamforc atus atus of life scienc innov sub schedul domo meet lifesciencesdf
7	Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/Vma4jCmftE	lead dreamforc atus atus of life scienc innov sub schedul domo meet lifesciencesdf
8	Veeva acquiring Crossix, makers of a patient data and analytics platform used by pharma marketers. Crossix provides best-in-class privacy safeguards that connects health and non-health data for more than 300 million U.S. patients. via @ZDNet @natalienoell  https://t.co/PR1vfmHHRH	eva acquir croix maker patient data analysi platform use parma market croix provid bestincla privaci safeguard connect health nonhealth data of patient atus atus
9	@veevasystems a announces plan to acquire @Crossix, the leader in privacy-safe patient data and analytics. Helping drive greater #patient focus and #healthcare efficiency.  https://t.co/KljDzcDXP2  https://t.co/tmA2QIq6qg	atus announc plan acquir leader privacysaf patient data analysi help drive greater patient focu healthcar effici
10	Excited to announce our intent to join forces with @Crossix, adding deep expertise in patient data, #privacy, and data science into @veevasystems. #lifesciences #CustomerSuccess  https://t.co/KljDzcDXP2  https://t.co/YbzvnQUxI0	excit announc intent join forc atus ad deep expertis patient data privaci data scienc atus lifesci customersuc
11	New research reveals more CROs are taking action to meet the urgent need for faster #clinicaltrials. Read the news:  https://t.co/4hjtjL7TK2  https://t.co/OAyelYXJIV	new research reveal al_caps_cro take action meet urgent need faster clinicaltri head news
12	90% of CROs are unifying their #clinical operations to improve trial collaboration and speed. Learn more in the Annual CRO Report:  https://t.co/uAlEUKYV5N  https://t.co/hSCByUYGcs	al_caps_cro unifi clinic oper improv trial collabor speed learn annual al_caps_cro report
