	Tweet
0	 Communicating with the right health audiences is more important than ever. Join leaders from @bvkHQ and Veeva Crossix to understand how leveraging health-based models can help you reach your target audience at scale.  https://t.co/tYnoruUahc  https://t.co/E6gi29Cp7Z
1	 Experts from @Veevasystems  and @Crossix are at the Life Sciences Innovation Hub (#1131) to discuss best practices, customer successes, and commercial strategy. #DF19 #LifeSciencesDF19 #Dreamforce
2	 Head to the #LifeSciences Innovation Hub at @Dreamforce (#1131, Moscone South) to discuss commercial best practices and strategy with experts from @Veevasystems  and @Crossix.  #DF19 #LifeSciencesDF19  https://t.co/V2K6ds2eUI
3	 Heading to @Dreamforce? @Veevasystems and @Crossix will be at #DF19 in the Life Sciences Innovation Hub (1131). Schedule a demo or meeting:  https://t.co/HWJV9ITZjX  #LifeSciencesDF19  https://t.co/NMeTQwxNVB
4	 Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/qsJzEWTlr9
5	 Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/nyEbsT5oa5
6	 Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/IwXbdQRtbF
7	 Heading to #Dreamforce? @Veevasystems  and @Crossix  will be at #DF19 in the Life Sciences Innovation Hub (1131).  Schedule a demo or meeting:  https://t.co/fkMfRNtJJT #LifeSciencesDF19  https://t.co/Vma4jCmftE
8	 Veeva acquiring Crossix, makers of a patient data and analytics platform used by pharma marketers. Crossix provides best-in-class privacy safeguards that connects health and non-health data for more than 300 million U.S. patients. via @ZDNet @natalienoell  https://t.co/PR1vfmHHRH
9	 @veevasystems a announces plan to acquire @Crossix, the leader in privacy-safe patient data and analytics. Helping drive greater #patient focus and #healthcare efficiency.  https://t.co/KljDzcDXP2  https://t.co/tmA2QIq6qg
10	 Excited to announce our intent to join forces with @Crossix, adding deep expertise in patient data, #privacy, and data science into @veevasystems. #lifesciences #CustomerSuccess  https://t.co/KljDzcDXP2  https://t.co/YbzvnQUxI0
11	 New research reveals more CROs are taking action to meet the urgent need for faster #clinicaltrials. Read the news:  https://t.co/4hjtjL7TK2  https://t.co/OAyelYXJIV
12	 90% of CROs are unifying their #clinical operations to improve trial collaboration and speed. Learn more in the Annual CRO Report:  https://t.co/uAlEUKYV5N  https://t.co/hSCByUYGcs
13	 In today’s digital world, your CRAs should be able to complete monitoring visit reports while mobile. Learn about our partnership with @onthemovesoftware and the fast implementation available for your teams.  https://t.co/jsCOZjFWwO  https://t.co/lo4OS2Fcuh
14	 A digital-first sales strategy can be challenging to implement. Find out how Mark McLaughlin @MarkMcLDC, a commercial leader, overcame challenges on the road to digital. #HCPEngagement #PharmaCRM  https://t.co/s9dEWBMSgi  https://t.co/L57APUnFiH
15	 Kickstart feasibility with the Vault Clinical Operations Global Investigator Directory. Watch this short demo to see how:  https://t.co/W8nMTdf4Hf
16	 Decentralized clinical trials are front and center in nearly every trial-related conversation today. But are they here to stay? Veeva’s Henry Levy on how #DCTs can reduce patient burden and broaden the reach of studies.  https://t.co/RfdDRMnqhU
17	 Shionogi Europe increased their speed to market by leveraging key business insights by regions. Read this case study to learn how Veeva Nitro helped them be more agile and data driven.  https://t.co/rbov4NTfTy #dataanalytics #lifesciences  https://t.co/4VBnFUj0p1
18	 How can monitors quickly identify and focus on high-risk activities to make the most of their time during on-site visits? Our latest blog evaluates how a risk-based monitoring approach can provide more accuracy and focus post-COVID.  https://t.co/OEu3fTNrgl  https://t.co/GKEHbQd8wc
19	 COVID has increased the urgency to tackle health equity barriers. Veeva’s Sarah Caldwell talks to PharmaVOICE about how gaining a deeper understanding of patient profiles can help.  https://t.co/81df2w7Snr
20	 Are you using data to optimize your study start-up processes? Reliable data can help you identify pain points and inefficiencies causing study delays. Read more in our latest blog.  https://t.co/J32XmLihKk
21	" Discover how one commercial leader set his field force up for ""anytime, anywhere"" customer engagement. #HCPEngagement #PharmaCRM  https://t.co/s9dEWBMSgi  https://t.co/ZKjvyszOsG"
22	 Drive #clinicaltrial efficiencies by eliminating excel trackers and enabling document reuse with the Vault Clinical Global Directory. See how:  https://t.co/W8nMTdf4Hf
23	 #Lifesciences companies across North America and Europe are prioritizing #dataquality improvement initiatives in 2021. Watch this video blog to learn more:  https://t.co/fz1Rum3Cdp #pharma  https://t.co/b5AUIvVQvR
24	 The average top 20 #pharma creates 40,000 monitoring reports per year. A risk-based approach enables #sponsors and #CROs to allocate resources more effectively and #CRAs to focus on critical risks. Read more on ways to save time and improve study quality:  https://t.co/OEu3fTNrgl  https://t.co/3JUCjoovZK
25	 Looking for ways to deliver compliant, personalized, and scalable content faster? Learn how to implement modular content in your organization. Read this guide to learn more:  https://t.co/Koz9TnaP0o    #pharmaceuticals #lifesciences #contentmarketing  https://t.co/Ws9p1Tr6N5
26	 As your CRAs begin to resume onsite visits post-COVID, improve efficiency by simplifying monitoring visit reports and allow them to be completed offline. Learn how  https://t.co/jsCOZjFWwO  https://t.co/7M0o4e3krp
27	 In a recent industry report, 75% of experts said they needed to reduce manual processes to improve information sharing. Jim Reilly predicts we will see companies continue to adopt digital applications over manual processes. See our other predictions here: https://t.co/LZtidcDK3e
